epoch,train_loss,train_ppl,val_loss,val_ppl,train_time,val_time,experiment,label
1,7.19461831981521,1332.2417382615167,6.466373793434624,643.147308364934,33.48,1.19,dgn1,DGN-1
2,6.444615988310728,629.3049700912212,6.016817786066304,410.2709462981402,32.87,1.14,dgn1,DGN-1
3,6.083319553272204,438.48234698554006,5.767564754790898,319.75809436009104,33.73,1.19,dgn1,DGN-1
4,5.8478152511747,346.4765886676842,5.623390704649163,276.8264303764615,33.36,1.09,dgn1,DGN-1
5,5.672780067082386,290.8419716984495,5.534475243419682,253.27484511730444,33.16,1.16,dgn1,DGN-1
6,5.529449341075206,252.0051039497596,5.454399693820137,233.78448666477212,33.45,1.15,dgn1,DGN-1
7,5.4128293466922335,224.26521492631204,5.3992622658570655,221.24313736708035,33.55,1.19,dgn1,DGN-1
8,5.319565870918386,204.29517226311177,5.367333102275649,214.2906138218677,33.48,1.23,dgn1,DGN-1
9,5.243626574694233,189.35557082454383,5.338928590127088,208.289427347798,33.54,1.16,dgn1,DGN-1
10,5.18254098018552,178.13487359322897,5.318546710758034,204.087068825968,33.87,1.2,dgn1,DGN-1
11,5.135598352308215,169.965988996507,5.307443261887414,201.8335326564381,33.96,1.22,dgn1,DGN-1
12,5.101369462700322,164.24668305986495,5.300780327653842,200.4931993372341,33.11,1.14,dgn1,DGN-1
13,5.07807570983507,160.4649774677029,5.2964669328076,199.6302554513104,33.8,1.22,dgn1,DGN-1
14,5.06433034430585,158.27441721284293,5.294325929169261,199.2033035639308,33.32,1.24,dgn1,DGN-1
15,5.05646659778676,157.03466823993872,5.293646174586359,199.0679402175438,34.07,1.21,dgn1,DGN-1
1,7.200617468355984,1340.258075899514,6.481886893202123,653.2023071755917,36.22,1.48,dgn2,DGN-2
2,6.467701730621993,644.0019349122665,6.051066334270874,424.565517511996,36.28,1.38,dgn2,DGN-2
3,6.102703861588742,447.06493905453806,5.769892607048512,320.5033110025381,36.04,1.36,dgn2,DGN-2
4,5.8522994597456375,348.0337506665077,5.614735120145059,274.44067576058285,35.8,1.36,dgn2,DGN-2
5,5.667189110527757,289.2204240954871,5.517127929477517,248.91909636640645,35.82,1.37,dgn2,DGN-2
6,5.523654821618832,250.54907803108816,5.445064887876304,231.61230805533623,35.48,1.41,dgn2,DGN-2
7,5.408872927133192,223.37968057141023,5.398454067374729,221.0644012360968,35.83,1.3,dgn2,DGN-2
8,5.318089106621712,203.99369910391815,5.368611742173754,214.5647895991792,35.14,1.35,dgn2,DGN-2
9,5.243255241657288,189.2852698987029,5.328670832630303,206.16376581195524,36.07,1.47,dgn2,DGN-2
10,5.184123815703115,178.4170550625867,5.312797202341441,202.9170352880056,36.09,1.35,dgn2,DGN-2
11,5.1385217594551245,170.46359578269667,5.2995247798546,200.2416285046937,35.85,1.4,dgn2,DGN-2
12,5.104024010175678,164.68326288228212,5.293020296393149,198.94338691645777,35.65,1.45,dgn2,DGN-2
13,5.080978458527812,160.9314436608093,5.282845828758256,196.9295063195885,35.77,1.41,dgn2,DGN-2
14,5.066291423962988,158.58511050025436,5.2841476922770445,197.18604861493336,35.85,1.36,dgn2,DGN-2
15,5.060013467290496,157.59263865492065,5.283433132815128,197.04519778727663,35.92,1.31,dgn2,DGN-2
1,7.20387344884371,1344.6290420719135,6.477893827934524,650.5992283207224,39.27,1.54,dgn3,DGN-3
2,6.432345126972091,621.6300413601474,6.007415934475472,406.4317159665442,39.57,1.54,dgn3,DGN-3
3,6.078183502704112,436.23605295598645,5.7722787938904006,321.26900496715126,38.73,1.45,dgn3,DGN-3
4,5.853055121503063,348.29684585514656,5.641709598785112,281.944318350822,40.36,1.44,dgn3,DGN-3
5,5.683376286054885,293.9401825886319,5.539997559321918,254.677377872302,39.33,1.54,dgn3,DGN-3
6,5.548919113913509,256.9596616237603,5.4870925776596495,241.55388576379232,39.85,1.62,dgn3,DGN-3
7,5.440004685735883,230.44326325438,5.424518616815472,226.90209316888837,39.42,1.58,dgn3,DGN-3
8,5.350671085757473,210.74968153075403,5.389559544695662,219.10685751976132,39.5,1.58,dgn3,DGN-3
9,5.278862162157726,196.14656534592083,5.363994051274833,213.57627979588392,39.35,1.71,dgn3,DGN-3
10,5.222051555980774,185.31397635141727,5.3500170584930125,210.61189055749483,39.66,1.69,dgn3,DGN-3
11,5.175721723884633,176.92425867214183,5.337236701048631,207.93732268551773,39.99,1.52,dgn3,DGN-3
12,5.142577570221558,171.15636779620098,5.328577717580397,206.14456975634755,39.44,1.56,dgn3,DGN-3
13,5.119678137205431,167.28151925808672,5.322124143223961,204.8184840460836,39.29,1.59,dgn3,DGN-3
14,5.106331778088712,165.0637525041785,5.3199446646551225,204.3725726532765,39.28,1.59,dgn3,DGN-3
15,5.099824283864863,163.99308853630825,5.318939086070742,204.16716326593107,39.63,1.44,dgn3,DGN-3
1,7.166818576649951,1295.7158180218296,6.424497138116797,616.7705891284047,34.71,1.27,dgn4,DGN-4
2,6.4022618490607694,603.2078611750131,5.98694456777265,398.1960881591796,34.85,1.26,dgn4,DGN-4
3,6.045672895759045,422.2818135434394,5.7351439560119415,309.55753021934595,35.02,1.25,dgn4,DGN-4
4,5.801098665474029,330.6626480518888,5.5860708557878525,266.6857118235398,35.03,1.29,dgn4,DGN-4
5,5.61745921293125,275.18929681933264,5.490964241654395,242.4909140048593,34.81,1.27,dgn4,DGN-4
6,5.477094983265007,239.15095974404625,5.424475668731898,226.89234836808936,34.67,1.22,dgn4,DGN-4
7,5.364940462491473,213.7785064623893,5.376911370914411,216.3530082039983,34.71,1.17,dgn4,DGN-4
8,5.272456550351132,194.8941421419843,5.335914198482273,207.66250680503296,35.27,1.37,dgn4,DGN-4
9,5.197552036060619,180.8290366603485,5.3149300674321065,203.35029182349825,35.3,1.33,dgn4,DGN-4
10,5.136564650833616,170.13030625802068,5.294945963531882,199.3268547563222,35.31,1.18,dgn4,DGN-4
11,5.090354285037711,162.44740454451065,5.283272872206797,197.0136217342768,35.44,1.32,dgn4,DGN-4
12,5.05590126752699,156.94591687942838,5.278507360942126,196.076984650488,35.32,1.25,dgn4,DGN-4
13,5.032667267793408,153.34147048592294,5.273455932105777,195.08901315077435,35.27,1.24,dgn4,DGN-4
14,5.018181475800225,151.13620888317243,5.269496173610275,194.31803522415964,35.43,1.28,dgn4,DGN-4
15,5.010959159243188,150.04858763953666,5.267833357627803,193.9951885811735,35.31,1.29,dgn4,DGN-4
1,7.210186041175946,1353.1439844567528,6.496263620873886,662.6610488181625,33.62,1.19,dgn5,DGN-5
2,6.467449012059537,643.8392042324542,6.041016472977059,420.3200618037857,33.65,1.2,dgn5,DGN-5
3,6.095842424805976,444.0079309647781,5.776857514111874,322.7433786532188,33.69,1.19,dgn5,DGN-5
4,5.844770315143293,345.42319419209866,5.621982597182861,276.43690332531514,33.69,1.2,dgn5,DGN-5
5,5.663385753388108,288.1225047437718,5.521491563401303,250.0076615021589,33.77,1.15,dgn5,DGN-5
6,5.523329583639383,250.46760320526843,5.459056256331788,234.87565732166232,33.81,1.19,dgn5,DGN-5
7,5.411653896003143,224.00175709606657,5.40267043552585,221.99845791644853,33.93,1.24,dgn5,DGN-5
8,5.3180830890723385,203.99247156545533,5.358647076255932,212.43734041692431,34.28,1.19,dgn5,DGN-5
9,5.243541855929845,189.33952953406225,5.338296530126079,208.15781752917093,34.08,1.25,dgn5,DGN-5
10,5.185914963718141,178.736912787359,5.321506131926596,204.6919430149549,33.88,1.17,dgn5,DGN-5
11,5.138529177624513,170.4648603152149,5.310156726950052,202.38194460761343,33.83,1.22,dgn5,DGN-5
12,5.105128610488102,164.8652725713862,5.302942105812869,200.92708997527265,34.12,1.24,dgn5,DGN-5
13,5.0823926250491525,161.15918851728614,5.296816790446123,199.70010983989368,33.83,1.13,dgn5,DGN-5
14,5.068107765817991,158.87341702637883,5.294427347310234,199.2235074171551,33.47,1.18,dgn5,DGN-5
15,5.0612265147317705,157.78392199643287,5.293693929143331,199.0774468458268,33.81,1.19,dgn5,DGN-5
1,7.209986221955356,1352.8736272926103,6.49280402024634,660.3724673094703,39.59,1.56,dgn6,DGN-6
2,6.458958571671241,638.3958667153343,6.045896465378282,422.37623348202527,39.82,1.62,dgn6,DGN-6
3,6.089128066681018,441.0366888603443,5.752749701440952,315.0557796619262,39.67,1.62,dgn6,DGN-6
4,5.824639508426547,338.5390705957667,5.609213691027287,272.92954665749664,39.8,1.48,dgn6,DGN-6
5,5.636710138421786,280.5382665852386,5.509952850827243,247.1394743711461,40.12,1.72,dgn6,DGN-6
6,5.496358886677699,243.8026012698,5.443366156417472,231.21919493273748,40.53,1.6,dgn6,DGN-6
7,5.385670306698686,218.25635378189637,5.396031945299982,220.52960420322825,39.73,1.61,dgn6,DGN-6
8,5.29499046213881,199.3357247210313,5.369128955543023,214.6757940809608,39.71,1.6,dgn6,DGN-6
9,5.220732043568798,185.06961351486223,5.33319816973196,207.0992547168712,40.54,1.73,dgn6,DGN-6
10,5.161978539005797,174.50938789241812,5.322151765628622,204.82414170327056,40.08,1.6,dgn6,DGN-6
11,5.116043844958473,166.67467272635002,5.3077861110498725,201.90274297773783,39.98,1.46,dgn6,DGN-6
12,5.08295535159072,161.24990259129711,5.298551931717086,200.046918536322,39.06,1.48,dgn6,DGN-6
13,5.059769339839499,157.5541706614876,5.295533194066364,199.4439399464121,39.37,1.6,dgn6,DGN-6
14,5.0459092717795455,155.38552265407796,5.293793650060125,199.0973000212111,39.57,1.57,dgn6,DGN-6
15,5.038735577850704,154.2748231459637,5.291891374895649,198.71892217555737,39.81,1.72,dgn6,DGN-6
1,7.191813817558984,1328.5106976021557,6.460413575066586,639.3254109499985,34.26,1.31,dgn7,DGN-7
2,6.454810767017767,635.7534093555448,6.045963396155365,422.4045043976404,34.71,1.3,dgn7,DGN-7
3,6.112663470152359,451.5397776809639,5.784247201799324,325.1371852730075,34.94,1.32,dgn7,DGN-7
4,5.865651534835864,352.71188534160626,5.6276959520573095,278.0208058444629,34.95,1.33,dgn7,DGN-7
5,5.6790466113630265,292.6702683607303,5.522725958201828,250.31646021015808,34.87,1.2,dgn7,DGN-7
6,5.530881332022708,252.3662314813074,5.446736299204876,231.99975118908063,35.06,1.31,dgn7,DGN-7
7,5.411572635635109,223.98355537039404,5.3937902989631645,220.0358084882601,35.08,1.31,dgn7,DGN-7
8,5.315219595997544,203.40917606569485,5.349722585511581,210.54988017679645,35.06,1.24,dgn7,DGN-7
9,5.23750715978249,188.2003637215454,5.327482418958941,205.9189035018021,35.15,1.32,dgn7,DGN-7
10,5.177213204410228,177.18833464158598,5.310593536881591,202.47036636132628,35.08,1.3,dgn7,DGN-7
11,5.128583546295877,168.7778825949409,5.293323751665778,199.00376649695977,35.31,1.31,dgn7,DGN-7
12,5.09463104269984,163.14364048156114,5.285640129643666,197.4805561544264,35.01,1.4,dgn7,DGN-7
13,5.070907870853706,159.3189026936934,5.281229765678376,196.61151283306077,35.42,1.23,dgn7,DGN-7
14,5.05602642605518,156.96556122869362,5.279275123238317,196.2275829709119,35.21,1.28,dgn7,DGN-7
15,5.050461793408275,156.09453127073996,5.280178016161347,196.40483547485383,34.9,1.3,dgn7,DGN-7
1,7.17887260282276,1311.4289232370857,6.427057036213284,618.3514815839682,43.6,1.76,dgn8,DGN-8
2,6.41444876876887,610.6040839922752,5.998872855599373,402.97432715980426,43.88,1.73,dgn8,DGN-8
3,6.065522900820404,430.7478572017058,5.765039434232596,318.95162140068163,43.28,1.74,dgn8,DGN-8
4,5.838601565339704,343.29892371363763,5.623396048499268,276.8279096993633,43.89,1.71,dgn8,DGN-8
5,5.669122583782091,289.78016499774054,5.528251867669685,251.7035151480473,43.04,1.8,dgn8,DGN-8
6,5.53117343826661,252.43996000102925,5.457372691794308,234.48056167211183,43.26,1.83,dgn8,DGN-8
7,5.416828091661891,225.16378971472764,5.411817227358224,224.0383465946184,42.85,1.8,dgn8,DGN-8
8,5.324867614775382,205.38116923274296,5.36704346864807,214.22855704132957,42.99,1.83,dgn8,DGN-8
9,5.25070331328297,190.70034338933613,5.345991849264262,209.76583754447037,43.06,1.76,dgn8,DGN-8
10,5.19054030651617,179.5655471613766,5.324515659521937,205.30889697032015,43.69,1.81,dgn8,DGN-8
11,5.142482085003156,171.14002567326904,5.312012658594769,202.7579004291688,43.71,1.77,dgn8,DGN-8
12,5.107204993651646,165.20795169106577,5.304422334370157,201.22472822375863,43.58,1.97,dgn8,DGN-8
13,5.083470990113717,161.33307069339864,5.297138528662979,199.76437133427436,43.03,1.85,dgn8,DGN-8
14,5.068787049513507,158.9813738107063,5.2951558658659685,199.3686983197589,43.36,1.92,dgn8,DGN-8
15,5.062045426377682,157.91318600837184,5.294481180800105,199.23423260250823,42.76,1.76,dgn8,DGN-8
1,7.1157852978994685,1231.250129789972,6.342011293528101,567.9374523344474,34.24,1.2,dgn9,DGN-9
2,6.336930155809226,565.0590030151047,5.956867735073319,386.3979260943525,34.13,1.16,dgn9,DGN-9
3,6.01788543774864,410.709206677254,5.742677538872612,311.89841407326867,33.9,1.19,dgn9,DGN-9
4,5.799768939239826,330.2232494587656,5.601977466725499,270.9616957315088,34.27,1.25,dgn9,DGN-9
5,5.630362905592479,278.7632640261268,5.513731536938615,248.07510348160787,34.1,1.2,dgn9,DGN-9
6,5.491275527122846,242.56640965235965,5.447730789455517,232.2305874429664,34.41,1.2,dgn9,DGN-9
7,5.380205933184846,217.0669721154162,5.405993798174919,222.73746661641465,34.4,1.21,dgn9,DGN-9
8,5.28863672035217,198.0732120842531,5.372749684230221,215.454485751973,34.71,1.28,dgn9,DGN-9
9,5.214722577460522,183.960779033397,5.3504279565091455,210.6984483474932,34.33,1.22,dgn9,DGN-9
10,5.154303156249982,173.1750887247297,5.324419161171982,205.2890859564119,34.36,1.22,dgn9,DGN-9
11,5.10781711947006,165.30911070156552,5.316153814751004,203.59929352442157,34.5,1.19,dgn9,DGN-9
12,5.073170193381676,159.67974144931097,5.308386178368046,202.02393457316964,34.17,1.22,dgn9,DGN-9
13,5.049983932544755,156.01995762256922,5.303378437213835,201.0147799034769,34.06,1.16,dgn9,DGN-9
14,5.0350606680644185,153.70891755148838,5.301113365175598,200.55998221545516,34.11,1.16,dgn9,DGN-9
15,5.027885544565104,152.6099842906815,5.29969752445204,200.2762221520474,34.45,1.22,dgn9,DGN-9
